price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
44000.0,2160,3,1,2,no,no,yes,no,no,0,no
41000.0,3040,2,1,1,no,no,no,no,no,0,no
43000.0,3090,3,1,2,no,no,no,no,no,0,no
48000.0,4960,4,1,3,no,no,no,no,no,0,no
54800.0,3350,3,1,2,yes,no,no,no,no,0,no
55000.0,5300,5,2,2,yes,no,no,no,no,0,no
57000.0,4100,4,1,1,no,no,yes,no,no,0,no
68000.0,9166,2,1,1,yes,no,yes,no,yes,2,no
95000.0,4040,3,1,2,yes,no,yes,yes,no,1,no
38000.0,3630,3,3,2,no,yes,no,no,no,0,no
25000.0,3620,2,1,1,yes,no,no,no,no,0,no
25245.0,2400,3,1,1,no,no,no,no,no,0,no
56000.0,7260,3,2,1,yes,yes,yes,no,no,3,no
35500.0,4400,3,1,2,yes,no,no,no,no,0,no
30000.0,2400,3,1,2,yes,no,no,no,no,0,no
48000.0,4120,2,1,2,yes,no,no,no,no,0,no
48000.0,4750,2,1,1,yes,no,no,no,no,0,no
52000.0,4280,2,1,1,yes,no,no,no,yes,2,no
54000.0,4820,3,1,2,yes,no,no,no,no,0,no
56000.0,5500,4,1,2,yes,yes,yes,no,no,0,no
60000.0,5500,3,1,2,yes,no,no,no,yes,0,no
60000.0,5040,3,1,2,yes,no,yes,no,yes,0,no
67000.0,6000,2,1,1,yes,no,yes,no,yes,1,no
47000.0,2500,2,1,1,no,no,no,no,yes,0,no
70000.0,4095,3,1,2,no,yes,yes,no,yes,0,no
45000.0,4095,2,1,1,yes,no,no,no,no,2,no
51000.0,3150,3,1,2,yes,no,yes,no,no,0,no
32500.0,1836,2,1,1,no,no,yes,no,no,0,no
34000.0,2475,3,1,2,yes,no,no,no,no,0,no
35000.0,3210,3,1,2,yes,no,yes,no,no,0,no
36000.0,3180,3,1,1,no,no,no,no,no,0,no
45000.0,1650,3,1,2,no,no,yes,no,no,0,no
47000.0,3180,4,1,2,yes,no,yes,no,yes,0,no
55000.0,3180,2,2,1,yes,no,yes,no,no,2,no
63900.0,6360,2,1,1,yes,no,yes,no,yes,1,no
50000.0,4240,3,1,2,yes,no,no,no,yes,0,no
35000.0,3240,2,1,1,no,yes,no,no,no,1,no
50000.0,3650,3,1,2,yes,no,no,no,no,0,no
43000.0,3240,3,1,2,yes,no,no,no,no,2,no
55500.0,3780,2,1,2,yes,yes,yes,no,no,0,no
57000.0,6480,3,1,2,no,no,no,no,yes,1,no
60000.0,5850,2,1,1,yes,yes,yes,no,no,2,no
78000.0,3150,3,2,1,yes,yes,yes,no,yes,0,no
35000.0,3000,2,1,1,yes,no,no,no,no,1,no
44000.0,3090,2,1,1,yes,yes,yes,no,no,0,no
47000.0,6060,3,1,1,yes,yes,yes,no,no,0,no
58000.0,5900,4,2,2,no,no,yes,no,no,1,no
163000.0,7420,4,1,2,yes,yes,yes,no,yes,2,no
128000.0,8500,3,2,4,yes,no,no,no,yes,2,no
123500.0,8050,3,1,1,yes,yes,yes,no,yes,1,no
39000.0,6800,2,1,1,yes,no,no,no,no,0,no
53900.0,8250,3,1,1,yes,no,no,no,no,2,no
59900.0,8250,3,1,1,yes,no,yes,no,no,3,no
35000.0,3500,2,1,1,yes,yes,no,no,no,0,no
43000.0,2835,2,1,1,yes,no,no,no,no,0,no
57000.0,4500,3,2,2,no,no,yes,no,yes,0,no
79000.0,3300,3,3,2,yes,no,yes,no,no,0,no
125000.0,4320,3,1,2,yes,no,yes,yes,no,2,no
132000.0,3500,4,2,2,yes,no,no,yes,no,2,no
58000.0,4992,3,2,2,yes,no,no,no,no,2,no
43000.0,4600,2,1,1,yes,no,no,no,no,0,no
48000.0,3720,2,1,1,no,no,no,no,yes,0,no
58500.0,3680,3,2,2,yes,no,no,no,no,0,no
73000.0,3000,3,2,2,yes,yes,yes,no,no,0,no
63500.0,3750,2,1,1,yes,yes,yes,no,no,0,no
43000.0,5076,3,1,1,no,no,no,no,no,0,no
46500.0,4500,2,1,1,no,no,no,no,no,0,no
92000.0,5000,3,1,2,yes,no,no,no,yes,0,no
75000.0,4260,4,1,2,yes,no,yes,no,yes,0,no
75000.0,6540,4,2,2,no,no,no,no,yes,0,no
85000.0,3700,4,1,2,yes,yes,no,no,yes,0,no
93000.0,3760,3,1,2,yes,no,no,yes,no,2,no
94500.0,4000,3,2,2,yes,no,yes,no,yes,1,no
106500.0,4300,3,2,2,yes,no,yes,no,no,1,no
116000.0,6840,5,1,2,yes,yes,yes,no,yes,1,no
61500.0,4400,2,1,1,yes,no,no,no,no,1,no
80000.0,10500,4,2,2,yes,no,no,no,no,1,no
37000.0,4400,2,1,1,yes,no,no,no,no,0,no
59500.0,4840,3,1,2,yes,no,no,no,no,1,no
70000.0,4120,2,1,1,yes,no,yes,no,no,1,no
95000.0,4260,4,2,2,yes,no,no,yes,no,0,no
117000.0,5960,3,3,2,yes,yes,yes,no,no,1,no
122500.0,8800,3,2,2,yes,no,no,no,yes,2,no
123500.0,4560,3,2,2,yes,yes,yes,no,yes,1,no
127000.0,4600,3,2,2,yes,yes,no,no,yes,2,no
35000.0,4840,2,1,2,yes,no,no,no,no,0,no
44500.0,3850,3,1,2,yes,no,no,no,no,0,no
49900.0,4900,3,1,2,no,no,no,no,no,0,no
50500.0,3850,3,1,1,yes,no,no,no,no,2,no
65000.0,3760,3,1,1,yes,no,no,no,no,2,no
90000.0,6000,4,2,4,yes,no,no,no,no,1,no
46000.0,4370,3,1,2,yes,no,no,no,no,0,no
35000.0,7700,2,1,1,yes,no,no,no,no,0,no
26500.0,2990,2,1,1,no,no,no,no,no,1,no
43000.0,3750,3,1,2,yes,no,no,no,no,0,no
56000.0,3000,3,1,2,yes,no,no,no,no,0,no
40000.0,2650,3,1,2,yes,no,yes,no,no,1,no
51000.0,4500,4,2,2,yes,no,yes,no,no,2,no
51000.0,4500,2,1,1,no,no,no,no,no,0,no
57250.0,4500,3,1,2,no,no,yes,no,yes,0,no
44000.0,4500,2,1,2,yes,no,no,yes,no,1,no
61000.0,2175,3,1,2,no,yes,yes,no,yes,0,no
62000.0,4500,3,2,3,yes,no,no,yes,no,1,no
80000.0,4800,5,2,3,no,no,yes,yes,no,0,no
50000.0,4600,4,1,2,yes,no,no,no,no,0,no
59900.0,3450,3,1,2,yes,no,no,no,no,1,no
35500.0,3000,3,1,2,no,no,no,no,no,0,no
37000.0,3600,2,2,2,yes,no,yes,no,no,1,no
42000.0,3600,3,1,2,no,no,no,no,no,1,no
48000.0,3750,3,1,1,yes,no,no,no,no,0,no
60000.0,2610,4,3,2,no,no,no,no,no,0,no
60000.0,2953,3,1,2,yes,no,yes,no,yes,0,no
60000.0,2747,4,2,2,no,no,no,no,no,0,no
62000.0,1905,5,1,2,no,no,yes,no,no,0,no
63000.0,3968,3,1,2,no,no,no,no,no,0,no
63900.0,3162,3,1,2,yes,no,no,no,yes,1,no
130000.0,6000,4,1,2,yes,no,yes,no,no,2,no
25000.0,2910,3,1,1,no,no,no,no,no,0,no
50000.0,2135,3,2,2,no,no,no,no,no,0,no
52900.0,3120,3,1,2,no,no,yes,yes,no,0,no
62000.0,4075,3,1,1,yes,yes,yes,no,no,2,no
73500.0,3410,3,1,2,no,no,no,no,yes,0,no
38000.0,2800,3,1,1,yes,no,no,no,no,0,no
46000.0,2684,2,1,1,yes,no,no,no,yes,1,no
48000.0,3100,3,1,2,no,no,yes,no,no,0,no
52500.0,3630,2,1,1,yes,no,yes,no,no,0,no
32000.0,1950,3,1,1,no,no,no,yes,no,0,no
38000.0,2430,3,1,1,no,no,no,no,no,0,no
46000.0,4320,3,1,1,no,no,no,no,no,1,no
50000.0,3036,3,1,2,yes,no,yes,no,no,0,no
57500.0,3630,3,2,2,yes,no,no,yes,no,2,no
70000.0,5400,4,1,2,yes,no,no,no,no,0,no
69900.0,3420,4,2,2,yes,no,yes,no,yes,2,no
74500.0,3180,3,2,2,yes,no,no,no,no,2,no
42000.0,3660,4,1,2,no,no,no,no,no,0,no
60000.0,4410,2,1,1,no,no,no,no,no,1,no
50000.0,3990,3,1,2,yes,no,no,no,no,0,no
58000.0,4340,3,1,1,yes,no,no,no,no,0,no
63900.0,3510,3,1,2,yes,no,no,no,no,0,no
28000.0,3420,5,1,2,no,no,no,no,no,0,no
54000.0,3420,2,1,2,yes,no,no,yes,no,1,no
44700.0,5495,3,1,1,yes,no,yes,no,no,0,no
47000.0,3480,4,1,2,no,no,no,no,no,1,no
50000.0,7424,3,1,1,no,no,no,no,no,0,no
57250.0,3460,4,1,2,yes,no,no,no,yes,0,no
67000.0,3630,3,1,2,yes,no,no,no,no,2,no
52500.0,3630,2,1,1,yes,no,no,no,yes,0,no
42000.0,3480,3,1,2,no,no,no,no,no,1,no
57500.0,3460,3,2,1,yes,no,yes,no,yes,1,no
33000.0,3180,2,1,1,yes,no,no,no,no,0,no
34400.0,3635,2,1,1,no,no,no,no,no,0,no
40000.0,3960,3,1,1,yes,no,no,no,no,0,no
40500.0,4350,3,1,2,no,no,no,yes,no,1,no
46500.0,3930,2,1,1,no,no,no,no,no,0,no
52000.0,3570,3,1,2,yes,no,yes,no,no,0,no
53000.0,3600,3,1,1,yes,no,no,no,no,1,no
53900.0,2520,5,2,1,no,no,yes,no,yes,1,no
50000.0,3480,3,1,1,no,no,no,no,yes,0,no
55500.0,3180,4,2,2,yes,no,no,no,no,0,no
56000.0,3290,2,1,1,yes,no,no,yes,no,1,no
60000.0,4000,4,2,2,no,no,no,no,no,0,no
60000.0,2325,3,1,2,no,no,no,no,no,0,no
69500.0,4350,2,1,1,yes,no,yes,no,no,0,no
72000.0,3540,2,1,1,no,yes,yes,no,no,0,no
92500.0,3960,3,1,1,yes,no,yes,no,no,2,no
40500.0,2640,2,1,1,no,no,no,no,no,1,no
42000.0,2700,2,1,1,no,no,no,no,no,0,no
47900.0,2700,3,1,1,no,no,no,no,no,0,no
52000.0,3180,3,1,2,no,no,yes,no,no,0,no
62000.0,3500,4,1,2,yes,no,no,no,no,2,no
41000.0,3630,2,1,1,yes,no,no,no,no,0,no
138300.0,6000,4,3,2,yes,yes,yes,yes,no,2,no
42000.0,3150,3,1,2,no,no,no,no,no,0,no
47000.0,3792,4,1,2,yes,no,no,no,no,0,no
64500.0,3510,3,1,3,yes,no,no,no,no,0,no
46000.0,3120,3,1,2,no,no,no,no,no,0,no
58000.0,3000,4,1,3,yes,no,yes,no,yes,2,no
70100.0,4200,3,1,2,yes,no,no,no,no,1,no
78500.0,2817,4,2,2,no,yes,yes,no,no,1,no
87250.0,3240,4,1,3,yes,no,no,no,no,1,no
70800.0,2800,3,2,2,no,no,yes,no,yes,1,no
56000.0,3816,2,1,1,yes,no,yes,no,yes,2,no
48000.0,3185,2,1,1,yes,no,yes,no,no,2,no
68000.0,6321,3,1,2,yes,no,yes,no,yes,1,no
79000.0,3650,3,2,2,yes,no,no,no,no,2,no
80000.0,4700,4,1,2,yes,yes,yes,no,yes,1,no
87000.0,6615,4,2,2,yes,yes,no,yes,no,1,no
25000.0,3850,3,1,2,yes,no,no,no,no,0,no
32500.0,3970,1,1,1,no,no,no,no,no,0,no
36000.0,3000,2,1,2,yes,no,no,no,no,0,no
42500.0,4352,4,1,2,no,no,no,no,no,1,no
43000.0,3630,4,1,2,yes,no,no,no,no,3,no
50000.0,3600,6,1,2,yes,no,no,no,no,1,no
26000.0,3000,2,1,1,yes,no,yes,no,no,2,no
30000.0,3000,4,1,2,yes,no,no,no,no,0,no
34000.0,2787,4,2,2,yes,no,no,no,no,0,no
52000.0,3000,2,1,2,yes,no,no,no,yes,0,no
70000.0,4770,3,1,1,yes,yes,yes,no,no,0,no
27000.0,3649,2,1,1,yes,no,no,no,no,0,no
32500.0,3970,3,1,2,yes,no,yes,no,no,0,no
37200.0,2910,2,1,1,no,no,no,no,no,0,no
38000.0,3480,2,1,1,yes,no,no,no,no,1,no
42000.0,6615,3,1,2,yes,no,no,no,no,0,no
44500.0,3500,2,1,1,yes,no,no,no,no,0,no
45000.0,3450,3,1,2,yes,no,yes,no,no,0,no
48500.0,3450,3,1,1,yes,no,yes,no,no,2,no
52000.0,3520,2,2,1,yes,no,yes,no,no,0,no
53900.0,6930,4,1,2,no,no,no,no,no,1,no
60000.0,4600,3,2,2,yes,no,no,no,yes,1,no
61000.0,4360,4,1,2,yes,no,no,no,no,0,no
64500.0,3450,3,1,2,yes,no,yes,no,no,1,no
71000.0,4410,4,3,2,yes,no,yes,no,no,2,no
75500.0,4600,2,2,1,yes,no,no,no,yes,2,no
33500.0,3640,2,1,1,yes,no,no,no,no,0,no
41000.0,6000,2,1,1,yes,no,no,no,no,0,no
41000.0,5400,4,1,2,yes,no,no,no,no,0,no
46200.0,3640,4,1,2,yes,no,yes,no,no,0,no
48500.0,3640,2,1,1,yes,no,no,no,no,0,no
48900.0,4040,2,1,1,yes,no,no,no,no,0,no
50000.0,3640,2,1,1,yes,no,no,no,no,1,no
51000.0,3640,2,1,1,yes,no,no,no,no,0,no
52500.0,5640,2,1,1,no,no,no,no,no,0,no
52500.0,3600,2,1,1,yes,no,no,no,no,0,no
54000.0,3600,2,1,1,yes,no,no,no,no,0,no
59000.0,4632,4,1,2,yes,no,no,no,yes,0,no
60000.0,3640,3,2,2,yes,no,yes,no,no,0,no
63000.0,4900,2,1,2,yes,no,yes,no,no,0,no
64000.0,4510,4,1,2,yes,no,no,no,yes,2,no
64900.0,4100,2,2,1,yes,yes,yes,no,no,0,no
65000.0,3640,3,1,2,yes,no,no,no,yes,0,no
66000.0,5680,3,1,2,yes,yes,no,no,yes,1,no
70000.0,6300,3,1,1,yes,no,no,no,yes,2,no
65500.0,4000,3,1,2,yes,no,no,no,no,1,no
57000.0,3960,3,1,2,yes,no,no,no,no,0,no
52000.0,5960,3,1,2,yes,yes,yes,no,no,0,no
54000.0,5830,2,1,1,yes,no,no,no,no,2,no
74500.0,4500,4,2,1,no,no,yes,no,yes,2,no
90000.0,4100,3,2,3,yes,no,no,no,yes,2,no
45000.0,6750,2,1,1,yes,no,no,no,no,0,no
45000.0,9000,3,1,2,yes,no,no,no,no,2,no
65000.0,2550,3,1,2,yes,no,yes,no,no,0,no
55000.0,7152,3,1,2,yes,no,no,no,yes,0,no
62000.0,6450,4,1,2,yes,no,no,no,no,0,no
30000.0,3360,2,1,1,yes,no,no,no,no,1,no
34000.0,3264,2,1,1,yes,no,no,no,no,0,no
38000.0,4000,3,1,1,yes,no,no,no,no,0,no
39000.0,4000,3,1,2,yes,no,no,no,no,1,no
45000.0,3069,2,1,1,yes,no,no,no,no,1,no
47000.0,4040,2,1,1,yes,no,no,no,no,0,no
47500.0,4040,2,1,1,yes,no,no,no,no,1,no
49000.0,3185,2,1,1,yes,no,no,no,no,2,no
50000.0,5900,2,1,1,yes,no,no,no,no,1,no
50000.0,3120,3,1,2,yes,no,no,no,no,1,no
52900.0,5450,2,1,1,yes,no,no,no,no,0,no
53000.0,4040,2,1,1,yes,no,no,no,no,0,no
55000.0,4080,2,1,1,yes,no,no,no,no,0,no
56000.0,8080,3,1,1,yes,no,no,no,yes,2,no
58500.0,4040,2,1,2,yes,no,no,no,no,1,no
59500.0,4080,3,1,2,yes,no,no,no,no,2,no
60000.0,5800,3,1,1,yes,no,no,yes,no,2,no
64000.0,5885,2,1,1,yes,no,no,no,yes,1,no
67000.0,9667,4,2,2,yes,yes,yes,no,no,1,no
68100.0,3420,4,2,2,yes,no,no,no,no,0,no
70000.0,5800,2,1,1,yes,yes,yes,no,yes,0,no
72000.0,7600,4,1,2,yes,no,no,no,yes,2,no
57500.0,5400,3,1,1,yes,no,no,no,no,3,no
69900.0,4995,4,2,1,yes,no,yes,no,no,0,no
70000.0,3000,3,1,2,yes,no,yes,no,yes,0,no
75000.0,5500,3,2,1,yes,no,yes,no,no,0,no
76900.0,6450,3,2,1,yes,yes,yes,yes,no,0,no
78000.0,6210,4,1,4,yes,yes,no,no,yes,0,no
80000.0,5000,3,1,4,yes,no,no,no,no,0,no
82000.0,5000,3,1,3,yes,no,no,no,yes,0,no
83000.0,5828,4,1,4,yes,yes,no,no,no,0,no
83000.0,5200,3,1,3,yes,no,no,no,yes,0,no
83900.0,5500,3,1,3,yes,yes,no,no,yes,1,no
88500.0,6350,3,2,3,yes,yes,no,no,yes,0,no
93000.0,8250,3,2,3,yes,no,no,no,yes,0,no
98000.0,6000,3,1,1,yes,no,no,no,yes,1,no
98500.0,7700,3,2,1,yes,no,no,no,no,2,no
99000.0,8880,3,2,2,yes,no,yes,no,yes,1,no
101000.0,8880,2,1,1,yes,no,no,no,yes,1,no
110000.0,6480,3,2,4,yes,no,no,no,yes,2,no
115442.0,7000,3,2,4,yes,no,no,no,yes,2,no
120000.0,8875,3,1,1,yes,no,no,no,no,1,no
124000.0,7155,3,2,1,yes,yes,yes,no,yes,2,no
175000.0,8960,4,4,4,yes,no,no,no,yes,3,no
50000.0,7350,2,1,1,yes,no,no,no,no,1,no
55000.0,3850,2,1,1,yes,no,no,no,no,0,no
60000.0,7000,3,1,1,yes,no,no,no,no,3,no
61000.0,7770,2,1,1,yes,no,no,no,no,1,no
106000.0,7440,3,2,1,yes,yes,yes,no,yes,0,yes
155000.0,7500,3,3,1,yes,no,yes,no,yes,2,yes
141000.0,8100,4,1,2,yes,yes,yes,no,yes,2,yes
62500.0,3900,3,1,2,yes,no,no,no,no,0,no
70000.0,2970,3,1,3,yes,no,no,no,no,0,no
73000.0,3000,3,1,2,yes,no,yes,no,no,0,no
80000.0,10500,2,1,1,yes,no,no,no,no,1,no
80000.0,5500,3,2,2,yes,no,no,no,no,1,no
88000.0,4500,3,1,4,yes,no,no,no,yes,0,no
49000.0,3850,3,1,1,yes,no,no,no,no,0,no
52000.0,4130,3,2,2,yes,no,no,no,no,2,no
59500.0,4046,3,1,2,yes,no,yes,no,no,1,no
60000.0,4079,3,1,3,yes,no,no,no,no,0,no
64000.0,4000,3,1,2,yes,no,no,no,no,2,no
64500.0,9860,3,1,1,yes,no,no,no,no,0,no
68500.0,7000,3,1,2,yes,no,yes,no,no,0,no
78500.0,7980,3,1,1,yes,no,no,no,no,2,no
86000.0,6800,2,1,1,yes,yes,yes,no,no,2,no
86900.0,4300,6,2,2,yes,no,no,no,no,0,no
75000.0,10269,3,1,1,yes,no,no,no,no,1,yes
78000.0,6100,3,1,3,yes,yes,no,no,yes,0,yes
95000.0,6420,3,2,3,yes,no,no,no,yes,0,yes
97000.0,12090,4,2,2,yes,no,no,no,no,2,yes
107000.0,6600,3,1,4,yes,no,no,no,yes,3,yes
130000.0,6600,4,2,2,yes,yes,yes,no,yes,1,yes
145000.0,8580,4,3,4,yes,no,no,no,yes,2,yes
175000.0,9960,3,2,2,yes,no,yes,no,no,2,yes
72000.0,10700,3,1,2,yes,yes,yes,no,no,0,no
84900.0,15600,3,1,1,yes,no,no,no,yes,2,no
99000.0,13200,2,1,1,yes,no,yes,yes,no,1,no
114000.0,9000,4,2,4,yes,no,no,no,yes,2,no
120000.0,7950,5,2,2,yes,no,yes,yes,no,2,no
145000.0,16200,5,3,2,yes,no,no,no,no,0,no
79000.0,6100,3,2,1,yes,no,yes,no,no,2,yes
82000.0,6360,3,1,1,yes,yes,yes,no,yes,2,yes
85000.0,6420,3,1,1,yes,no,yes,no,yes,0,yes
100500.0,6360,4,2,3,yes,no,no,no,yes,2,yes
122000.0,6540,4,2,2,yes,yes,yes,no,yes,2,yes
126500.0,6420,3,2,2,yes,no,no,no,yes,1,yes
133000.0,6550,4,2,2,yes,no,no,no,yes,1,yes
140000.0,5750,3,2,4,yes,yes,no,no,yes,1,yes
190000.0,7420,4,2,3,yes,no,no,no,yes,2,yes
84000.0,7160,3,1,1,yes,no,yes,no,no,2,yes
97000.0,4000,3,2,2,yes,no,yes,no,yes,0,yes
103500.0,9000,4,2,4,yes,yes,no,no,yes,1,yes
112500.0,6550,3,1,2,yes,no,yes,no,yes,0,yes
140000.0,13200,3,1,2,yes,no,yes,no,yes,2,yes
74700.0,7085,3,1,1,yes,yes,yes,no,no,2,yes
78000.0,6600,4,2,2,yes,yes,yes,no,no,0,yes
78900.0,6900,3,1,1,yes,yes,yes,no,no,0,yes
83900.0,11460,3,1,3,yes,no,no,no,no,2,yes
85000.0,7020,3,1,1,yes,no,yes,no,yes,2,yes
85000.0,6540,3,1,1,yes,yes,yes,no,no,2,yes
86000.0,8000,3,1,1,yes,yes,yes,no,yes,2,yes
86900.0,9620,3,1,1,yes,no,yes,no,no,2,yes
94500.0,10500,3,2,1,yes,no,yes,no,yes,1,yes
96000.0,5020,3,1,4,yes,no,no,no,yes,0,yes
106000.0,7440,3,2,4,yes,no,no,no,no,1,yes
72000.0,6600,3,1,1,yes,yes,yes,no,no,0,yes
74500.0,7200,3,1,2,yes,yes,yes,no,no,1,yes
77000.0,6710,3,2,2,yes,yes,yes,no,no,1,yes
80750.0,6660,4,2,2,yes,yes,yes,no,no,1,yes
82900.0,7000,3,1,1,yes,no,yes,no,no,2,yes
85000.0,7231,3,1,2,yes,yes,yes,no,yes,0,yes
92500.0,7410,3,1,1,yes,yes,yes,no,yes,2,yes
76000.0,7800,3,1,1,yes,no,yes,no,yes,2,yes
77500.0,6825,3,1,1,yes,yes,yes,no,yes,0,yes
80000.0,6360,3,1,3,yes,no,no,no,no,0,yes
80000.0,6600,4,2,1,yes,no,yes,no,no,0,yes
86000.0,6900,3,2,1,yes,yes,yes,no,no,0,yes
87000.0,6600,3,1,1,yes,yes,yes,no,no,2,yes
87500.0,6420,3,1,3,yes,no,yes,no,no,0,yes
89000.0,6600,3,2,1,yes,no,yes,no,yes,0,yes
89900.0,6600,3,2,3,yes,no,no,no,yes,0,yes
90000.0,9000,3,1,1,yes,no,yes,no,no,1,yes
95000.0,6500,3,2,3,yes,no,no,no,yes,0,yes
112000.0,6360,3,2,4,yes,no,no,no,yes,0,yes
31900.0,5300,3,1,1,no,no,no,no,yes,0,yes
52000.0,2850,3,2,2,no,no,yes,no,no,0,yes
90000.0,6400,3,1,1,yes,yes,yes,no,yes,1,yes
100000.0,11175,3,1,1,yes,no,yes,no,yes,1,yes
91700.0,6750,2,1,1,yes,yes,yes,no,no,2,yes
174500.0,7500,4,2,2,yes,no,yes,no,yes,3,yes
94700.0,6000,3,1,2,yes,no,no,yes,no,1,yes
68000.0,10240,2,1,1,yes,no,no,no,yes,2,yes
80000.0,5136,3,1,2,yes,yes,yes,no,yes,0,yes
61100.0,3400,3,1,2,yes,no,yes,no,no,2,yes
62900.0,2880,3,1,2,yes,no,no,no,no,0,yes
65500.0,3840,3,1,2,yes,no,no,no,no,1,yes
66000.0,2870,2,1,2,yes,yes,yes,no,no,0,yes
49500.0,5320,2,1,1,yes,no,no,no,no,1,yes
50000.0,3512,2,1,1,yes,no,no,no,no,1,yes
53500.0,3480,2,1,1,yes,no,no,no,no,0,yes
58550.0,3600,3,1,1,yes,no,yes,no,yes,0,yes
64500.0,3520,2,1,2,yes,no,no,no,no,0,yes
65000.0,5320,3,1,2,yes,yes,yes,no,no,0,yes
69000.0,6040,3,1,1,yes,no,no,no,no,2,yes
73000.0,11410,2,1,2,yes,no,no,no,no,0,yes
75000.0,8400,3,1,2,yes,yes,yes,no,yes,2,yes
75000.0,5300,4,2,1,yes,no,no,no,yes,0,yes
132000.0,7800,3,2,2,yes,no,no,no,no,0,yes
60000.0,3520,3,1,2,yes,no,no,no,no,0,yes
65000.0,5360,3,1,2,yes,no,no,no,no,2,yes
69000.0,6862,3,1,2,yes,no,no,no,yes,2,yes
51900.0,3520,3,1,1,yes,no,no,no,no,2,yes
57000.0,4050,2,1,2,yes,yes,yes,no,no,0,yes
65000.0,3520,3,1,1,yes,no,no,no,no,0,yes
79500.0,4400,4,1,2,yes,no,no,no,yes,2,yes
72500.0,5720,2,1,2,yes,no,no,no,yes,0,yes
104900.0,11440,4,1,2,yes,no,yes,no,no,1,yes
114900.0,7482,3,2,3,yes,no,no,yes,no,1,yes
120000.0,5500,4,2,2,yes,no,yes,no,yes,1,yes
58000.0,4320,3,1,2,yes,no,no,no,no,2,yes
67000.0,5400,2,1,2,yes,no,no,no,no,0,yes
67000.0,4320,3,1,1,yes,no,no,no,no,0,yes
69000.0,4815,2,1,1,yes,no,no,no,yes,0,yes
73000.0,6100,3,1,1,yes,no,yes,no,yes,0,yes
73500.0,7980,3,1,1,yes,no,no,no,no,1,yes
74900.0,6050,3,1,1,yes,no,yes,no,no,0,yes
75000.0,3800,3,1,2,yes,yes,yes,no,no,1,yes
79500.0,5400,5,1,2,yes,yes,yes,no,yes,0,yes
120900.0,6000,3,2,4,yes,yes,yes,no,yes,0,yes
44555.0,2398,3,1,1,yes,no,no,no,no,0,yes
47000.0,2145,3,1,2,yes,no,yes,no,no,0,yes
47600.0,2145,3,1,2,yes,no,yes,no,no,0,yes
49000.0,2145,3,1,3,yes,no,no,no,no,0,yes
49000.0,2610,3,1,2,yes,no,yes,no,no,0,yes
49000.0,1950,3,2,2,yes,no,yes,no,no,0,yes
